event_time,x,y
2017-06-30 00:29:20.126647529,-110.9635913232808,34.46219708165518
2017-06-30 00:59:58.258014926,-110.96896741418976,34.46174335269186
2017-06-30 01:30:13.155270980,-110.96653391207265,34.457262098032395
2017-06-30 01:59:13.492056075,-110.96258294558898,34.45982302433421
2017-06-30 02:27:23.570848404,-110.9589896824536,34.45385761822812
2017-06-30 02:53:15.945829496,-110.95484410480597,34.447091163652615
2017-06-30 03:17:38.910638191,-110.95212409462151,34.4465400849136
2017-06-30 03:39:45.628058926,-110.9511937458437,34.44914093465748
2017-06-30 04:00:40.203576056,-110.96117070181151,34.461319667458696
2017-06-30 04:20:56.371846194,-110.95821524864668,34.463986531144165
2017-06-30 04:40:18.440009489,-110.95350897312538,34.45838004375904
2017-06-30 04:58:59.564665221,-110.95702979504883,34.47010041602345
2017-06-30 05:17:58.660275606,-110.96036393528195,34.45938874954975
2017-06-30 05:35:52.336631910,-110.95963029350845,34.4650207750775
2017-06-30 05:53:15.226639600,-110.95588075012198,34.462034956768825
2017-06-30 06:10:20.995555604,-110.95650086027769,34.45839594939519
2017-06-30 06:26:16.304361272,-110.96094603098041,34.45842351303343
2017-06-30 06:42:04.246799330,-110.96207490231363,34.46326830938892
2017-06-30 06:57:26.771298905,-110.95792384907963,34.462497508488994
2017-06-30 07:12:37.093669385,-110.95607086761615,34.459130633068874
2017-06-30 07:25:45.876103683,-110.94847178629263,34.46510014848612
2017-06-30 07:37:19.657655018,-110.95227102948611,34.46761317469515
2017-06-30 07:48:01.559357426,-110.95685863234205,34.473272880500986
2017-06-30 07:58:18.038517017,-110.9545266546124,34.47861616635698
2017-06-30 08:07:14.540086521,-110.95348295324024,34.47781543986212
2017-06-30 08:15:21.825454220,-110.93987565435408,34.47306611396036
2017-06-30 08:22:44.204356728,-110.94163291759958,34.477509502543725
2017-06-30 08:29:25.446430264,-110.93365441740414,34.4819785937618
2017-06-30 08:34:55.902414754,-110.94206521247573,34.47729214570411
2017-06-30 08:39:00.301251692,-110.92145855782005,34.45910753912897
2017-06-30 08:41:51.413957749,-110.91370926857667,34.454278945243054
2017-06-30 08:44:17.423632254,-110.9137143644163,34.451568562561725
2017-06-30 08:46:43.433306759,-110.9191085294619,34.45515999172367
2017-06-30 08:49:09.442981264,-110.91468447629468,34.453080826825826
2017-06-30 08:51:35.452655769,-110.90847912699908,34.45345585866726
2017-06-30 08:54:01.462330274,-110.91205533588908,34.46574686852632
2017-06-30 08:56:27.472004779,-110.93170890431772,34.47659603317938
2017-06-30 08:58:53.481679284,-110.9275857624693,34.48212330192797
2017-06-30 09:01:19.491353789,-110.9261905711289,34.47679224531021
2017-06-30 09:03:45.501028294,-110.91644657351277,34.46677709586221
2017-06-30 09:06:11.510702799,-110.92384918652994,34.46256802923311
2017-06-30 09:08:37.520377304,-110.93061994436714,34.467360073727235
2017-06-30 09:11:03.530051809,-110.93461493208777,34.46524651802227
2017-06-30 09:13:29.539726314,-110.93580815693147,34.4676927425035
2017-06-30 09:15:55.549400819,-110.94487313165767,34.46944495696782
2017-06-30 09:18:21.559075324,-110.94997151558213,34.47437769303068
2017-06-30 09:20:47.568749829,-110.96249306495997,34.47875887669211
2017-06-30 09:23:13.578424334,-110.95409369088468,34.47043744084899
2017-06-30 09:25:39.588098839,-110.94842458784125,34.465710524749625
2017-06-30 09:28:05.597773344,-110.95413286085702,34.47192795888668
2017-06-30 09:30:31.607447849,-110.96229045198965,34.473825173116765
2017-06-30 09:32:57.617122354,-110.95779062668909,34.47385620828552
2017-06-30 09:35:23.626796859,-110.95147986873934,34.46526307639288
2017-06-30 09:37:49.636471364,-110.94462688804703,34.46222220707222
2017-06-30 09:40:15.646145869,-110.94452395452791,34.46865862352969
2017-06-30 09:42:41.655820374,-110.94810406531569,34.471646462100146
2017-06-30 09:45:07.665494879,-110.94202564037872,34.46440635679505
2017-06-30 09:47:33.675169384,-110.94113170377554,34.46346970750631
2017-06-30 09:49:59.684843889,-110.94795317656417,34.46919410206444
2017-06-30 09:52:25.694518394,-110.95216858104824,34.47472156521277
2017-06-30 09:54:51.704192899,-110.95634494892342,34.481931300794315
2017-06-30 09:57:17.713867404,-110.95568845902979,34.48579545894125
2017-06-30 09:59:43.723541909,-110.95891062460676,34.491827924728625
2017-06-30 10:02:09.733216414,-110.96227358038438,34.49521187966016
2017-06-30 10:04:35.742890919,-110.96159420984534,34.49065384009921
2017-06-30 10:07:01.752565424,-110.96160310676902,34.47581101418248
2017-06-30 10:09:27.762239929,-110.96566576219462,34.481682645598625
2017-06-30 10:11:53.771914434,-110.95935511455227,34.46931193671141
2017-06-30 10:14:19.781588939,-110.9617938336663,34.464227666061184
2017-06-30 10:16:45.791263444,-110.95451266908236,34.45934222969503
2017-06-30 10:19:11.800937949,-110.95747291067278,34.457814791410684
2017-06-30 10:21:37.810612454,-110.96275766706522,34.46161917313688
2017-06-30 10:24:03.820286959,-110.96988170872196,34.46873318778814
2017-06-30 10:26:29.829961464,-110.9646188673332,34.46360928052892
2017-06-30 10:28:55.839635969,-110.96651642021436,34.46481048691105
2017-06-30 10:31:21.849310474,-110.96913554073092,34.46555138763755
2017-06-30 10:33:47.858984979,-110.97325248185751,34.467945203447705
2017-06-30 10:36:13.868659484,-110.9634557030608,34.466193892194426
2017-06-30 10:38:39.878333989,-110.95382678136589,34.464177638039075
2017-06-30 10:41:05.888008494,-110.94896311980715,34.46284090214867
2017-06-30 10:43:31.897682999,-110.93881916207187,34.4598361635127
2017-06-30 10:45:57.907357504,-110.9441217455395,34.46244428632983
2017-06-30 10:48:23.917032009,-110.9410680173083,34.457802546470944
2017-06-30 10:50:49.926706514,-110.94159410827363,34.46025086972154
2017-06-30 10:53:15.936381019,-110.93889350292167,34.45352006852332
2017-06-30 10:55:41.946055524,-110.93899671989462,34.458828631597264
2017-06-30 10:58:07.955730029,-110.93151062950186,34.45824098365264
2017-06-30 11:00:33.965404534,-110.93465530187899,34.46136758998222
2017-06-30 11:02:59.975079039,-110.92612223299011,34.460575441001474
2017-06-30 11:05:25.984753544,-110.92583043559314,34.46154035750594
2017-06-30 11:07:51.994428049,-110.92765055811348,34.4606604505068
2017-06-30 11:10:18.004102554,-110.92619077004386,34.46402940824708
2017-06-30 11:12:44.013777059,-110.92753115488773,34.47185350379116
2017-06-30 11:15:10.023451564,-110.92387496771711,34.469630640110346
2017-06-30 11:17:36.033126069,-110.93155043781037,34.47620238569483
2017-06-30 11:20:02.042800574,-110.92398049029528,34.46966967108942
2017-06-30 11:22:28.052475079,-110.92254954851154,34.470780822545606
2017-06-30 11:24:54.062149584,-110.9225453025813,34.46553622445882
2017-06-30 11:27:20.071824089,-110.92362209436126,34.46387914623024
2017-06-30 11:29:46.081498594,-110.93074907995941,34.46167254333891
2017-06-30 11:32:12.091173099,-110.93430373912594,34.455348976670784
2017-06-30 11:34:38.100847604,-110.93604510036356,34.46148750620164
2017-06-30 11:37:04.110522109,-110.93955615691868,34.46422068860636
2017-06-30 11:39:30.120196614,-110.92597192380445,34.45712740892908
